date,change_type,grid_id,budgets,weights,archive,source_commit,evaluator_fingerprint,spec_count,seed_count,valid,total,headline,headline_excl_impact,delta_headline_vs_prior_row,score_100k,pass_100k,score_125k,pass_125k,score_200k,pass_200k,score_250k,pass_250k,score_300k,pass_300k,score_375k,pass_375k,score_500k,pass_500k,notes
2026-06-22,initial_baseline,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/baseline-head-5a597fb/golden.json,5a597fb1314b,de24a421f751,40,12,1439,1440,654.11,669.11,,632.36,479/480,,,655.05,480/480,,,660.73,480/480,,,,,Initial old-grid baseline of record.
2026-06-22,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-post-repair-frontier-fill-a01/golden.json,5a597fb1314b,de24a421f751,40,12,1439,1440,654.18,669.22,0.07,632.49,479/480,,,655.15,480/480,,,660.76,480/480,,,,,Post-repair frontier fill.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-start-support-robust3-a01/golden.json,6d83a856d2b0,de24a421f751,40,12,1439,1440,654.64,669.99,0.46,632.77,479/480,,,655.76,480/480,,,661.19,480/480,,,,,Start support robust branch 3.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-aim-top4-nonlowair-a01/golden.json,b3ed18b3ebe1,de24a421f751,40,12,1439,1440,657.19,670.37,2.55,632.77,479/480,,,659.53,480/480,,,663.77,480/480,,,,,Non-low-air mature aim top-4 refinement.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-start-best1x5-after-aimtop4-a01/golden.json,22faee06fd97,de24a421f751,40,12,1439,1440,664.70,680.49,7.51,638.00,479/480,,,667.47,480/480,,,671.76,480/480,,,,,Start first-contact max-width eval.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-start-objective-leaf-after-best1x5-a01/golden.json,bed4ff0a7025,de24a421f751,40,12,1439,1440,665.07,680.90,0.37,638.50,479/480,,,667.68,480/480,,,672.19,480/480,,,,,Objective leaf for start first-contact eval.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-repair-feasmargin105-after-start-objective-a01/golden.json,112070ec488a,de24a421f751,40,12,1439,1440,665.27,681.04,0.20,638.92,479/480,,,667.84,480/480,,,672.33,480/480,,,,,Repair feasibility margin 1.05.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-aim-top4-at100-after-feasmargin105-a01/golden.json,e566972a2d68,de24a421f751,40,12,1440,1440,668.14,682.82,2.87,656.19,480/480,,,667.84,480/480,,,672.33,480/480,,,,,Aim top-4 at 100k; validity becomes 1440/1440.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-quality-variation-relief-after-top4at100-a01/golden.json,3fe90d94a216,de24a421f751,40,12,1440,1440,668.61,683.35,0.47,656.19,480/480,,,668.05,480/480,,,673.12,480/480,,,,,High-variation mature quality breadth.
2026-06-23,accepted,old_100_200_300,"100000|200000|300000","100000:0.166667|200000:0.333333|300000:0.5",generated/golden-runs/attempt-quality-short-noamp-boost34-after-variation-a01/golden.json,18360b7afcc4,de24a421f751,40,12,1440,1440,669.13,683.92,0.52,656.19,480/480,,,668.38,480/480,,,673.94,480/480,,,,,Short no-amplitude mature quality boost.
