variant,budget,suite_score,passed,total,contract_pass_rate
base,25000,127.57,183,240,0.7625
base,50000,325.38,216,240,0.9
base,75000,531.1,232,240,0.9667
base,100000,596.87,236,240,0.9833
base,125000,648.96,239,240,0.9958
base,150000,655.73,239,240,0.9958
base,175000,658.13,239,240,0.9958
base,200000,660.23,239,240,0.9958
base,225000,680.38,240,240,1
base,250000,681.54,240,240,1
base,275000,682.87,240,240,1
base,300000,683.3,240,240,1
base,325000,684.29,240,240,1
base,350000,684.82,240,240,1
base,375000,685.5,240,240,1
base,400000,686.36,240,240,1
base,425000,686.77,240,240,1
base,450000,687.23,240,240,1
base,475000,687.59,240,240,1
base,500000,687.95,240,240,1
backjump,25000,120.97,181,240,0.7542
backjump,50000,325.05,215,240,0.8958
backjump,75000,480.73,228,240,0.95
backjump,100000,614,237,240,0.9875
backjump,125000,650.23,239,240,0.9958
backjump,150000,656.71,239,240,0.9958
backjump,175000,658.62,239,240,0.9958
backjump,200000,679.22,240,240,1
backjump,225000,680.96,240,240,1
backjump,250000,681.96,240,240,1
backjump,275000,683.25,240,240,1
backjump,300000,684.18,240,240,1
backjump,325000,685.1,240,240,1
backjump,350000,685.58,240,240,1
backjump,375000,686.14,240,240,1
backjump,400000,686.88,240,240,1
backjump,425000,687.25,240,240,1
backjump,450000,687.77,240,240,1
backjump,475000,688.44,240,240,1
backjump,500000,688.71,240,240,1
bestjump_w1,25000,127.09,182,240,0.7583
bestjump_w1,50000,284.82,211,240,0.8792
bestjump_w1,75000,531.27,232,240,0.9667
bestjump_w1,100000,596.87,236,240,0.9833
bestjump_w1,125000,633.8,238,240,0.9917
bestjump_w1,150000,655.58,239,240,0.9958
bestjump_w1,175000,657.9,239,240,0.9958
bestjump_w1,200000,660.15,239,240,0.9958
bestjump_w1,225000,680.24,240,240,1
bestjump_w1,250000,681.49,240,240,1
bestjump_w1,275000,682.61,240,240,1
bestjump_w1,300000,683.22,240,240,1
bestjump_w1,325000,684.19,240,240,1
bestjump_w1,350000,684.7,240,240,1
bestjump_w1,375000,685.38,240,240,1
bestjump_w1,400000,685.93,240,240,1
bestjump_w1,425000,686.34,240,240,1
bestjump_w1,450000,686.87,240,240,1
bestjump_w1,475000,687.24,240,240,1
bestjump_w1,500000,687.62,240,240,1
bestjump_w2,25000,127.49,183,240,0.7625
bestjump_w2,50000,300.52,213,240,0.8875
bestjump_w2,75000,546.26,233,240,0.9708
bestjump_w2,100000,596.99,236,240,0.9833
bestjump_w2,125000,648.97,239,240,0.9958
bestjump_w2,150000,655.5,239,240,0.9958
bestjump_w2,175000,657.8,239,240,0.9958
bestjump_w2,200000,660.75,239,240,0.9958
bestjump_w2,225000,680.34,240,240,1
bestjump_w2,250000,681.53,240,240,1
bestjump_w2,275000,682.49,240,240,1
bestjump_w2,300000,683.2,240,240,1
bestjump_w2,325000,684.04,240,240,1
bestjump_w2,350000,684.75,240,240,1
bestjump_w2,375000,685.35,240,240,1
bestjump_w2,400000,685.99,240,240,1
bestjump_w2,425000,686.36,240,240,1
bestjump_w2,450000,686.86,240,240,1
bestjump_w2,475000,687.21,240,240,1
bestjump_w2,500000,687.69,240,240,1
