variant,budget,spec,score,passed,total
base,25000,drums_signature,7.39,4,12
base,25000,drums_pendulum,0,0,12
base,25000,drums_crescendo,0,0,12
base,25000,dense_sprint,341.78,11,12
base,25000,syncopated_switchback,468.73,12,12
base,25000,opening_burst,586.68,12,12
base,25000,grain_staircase,647.61,12,12
base,25000,rhythm_ladder,12.72,5,12
base,25000,cold_start,561.16,12,12
base,25000,mini_burst,612.6,12,12
base,25000,tiny_dance,533.31,12,12
base,25000,solo_run,0,0,12
base,25000,verse_chorus,326.68,11,12
base,25000,drums_swell,341.71,11,12
base,25000,drums_crosscut,624.28,12,12
base,25000,drums_tide,361.79,11,12
base,25000,drums_dropout,208.12,10,12
base,25000,drums_breath,586.08,12,12
base,25000,drums_pulse,627.56,12,12
base,25000,drums_zigzag,594.16,12,12
base,50000,drums_signature,625.19,12,12
base,50000,drums_pendulum,1.84,2,12
base,50000,drums_crescendo,7.08,4,12
base,50000,dense_sprint,601.17,12,12
base,50000,syncopated_switchback,590.64,12,12
base,50000,opening_burst,592.01,12,12
base,50000,grain_staircase,674.31,12,12
base,50000,rhythm_ladder,549.08,12,12
base,50000,cold_start,565.71,12,12
base,50000,mini_burst,625.28,12,12
base,50000,tiny_dance,543.12,12,12
base,50000,solo_run,24.88,6,12
base,50000,verse_chorus,673.85,12,12
base,50000,drums_swell,641.14,12,12
base,50000,drums_crosscut,668.66,12,12
base,50000,drums_tide,653.31,12,12
base,50000,drums_dropout,637.39,12,12
base,50000,drums_breath,633.21,12,12
base,50000,drums_pulse,672.61,12,12
base,50000,drums_zigzag,643.46,12,12
base,75000,drums_signature,641.34,12,12
base,75000,drums_pendulum,303.46,11,12
base,75000,drums_crescendo,40.75,7,12
base,75000,dense_sprint,646.26,12,12
base,75000,syncopated_switchback,639.14,12,12
base,75000,opening_burst,641.47,12,12
base,75000,grain_staircase,743.42,12,12
base,75000,rhythm_ladder,599.55,12,12
base,75000,cold_start,601.5,12,12
base,75000,mini_burst,657.79,12,12
base,75000,tiny_dance,551.67,12,12
base,75000,solo_run,228.61,10,12
base,75000,verse_chorus,731.67,12,12
base,75000,drums_swell,687.59,12,12
base,75000,drums_crosscut,736.41,12,12
base,75000,drums_tide,716.49,12,12
base,75000,drums_dropout,700.9,12,12
base,75000,drums_breath,704.05,12,12
base,75000,drums_pulse,726.57,12,12
base,75000,drums_zigzag,702.85,12,12
base,100000,drums_signature,673.84,12,12
base,100000,drums_pendulum,320.12,11,12
base,100000,drums_crescendo,120.85,9,12
base,100000,dense_sprint,656.49,12,12
base,100000,syncopated_switchback,613.48,12,12
base,100000,opening_burst,633.2,12,12
base,100000,grain_staircase,738.4,12,12
base,100000,rhythm_ladder,605.67,12,12
base,100000,cold_start,604.05,12,12
base,100000,mini_burst,654.82,12,12
base,100000,tiny_dance,552.6,12,12
base,100000,solo_run,698.72,12,12
