"variant","budget","mean_delta","median_delta","frac_better","frac_worse","p_ttest","n"
"backjump",25000,-4.681125,0,0.1125,0.129166666666667,0.492899314458863,240
"backjump",50000,0.102541666666668,0,0.325,0.320833333333333,0.991286332448141,240
"backjump",75000,-5.846875,0,0.120833333333333,0.116666666666667,0.465401161884764,240
"backjump",100000,3.523,0,0.116666666666667,0.0916666666666667,0.176458902306072,240
"backjump",125000,1.133125,0,0.125,0.0625,0.106259480895473,240
"backjump",150000,0.929083333333333,0,0.141666666666667,0.108333333333333,0.156935574380129,240
"backjump",175000,0.450416666666665,0,0.141666666666667,0.0791666666666667,0.498875922046667,240
"backjump",200000,3.51795833333333,0,0.1375,0.104166666666667,0.182715570258194,240
"backjump",225000,0.489375,0,0.15,0.0916666666666667,0.395490504554876,240
"backjump",250000,0.341083333333334,0,0.129166666666667,0.1,0.517024089290663,240
"backjump",275000,0.319125000000001,0,0.125,0.0958333333333333,0.511100736159288,240
"backjump",300000,0.786416666666668,0,0.1375,0.0875,0.119607890721644,240
"backjump",325000,0.700958333333336,0,0.1125,0.116666666666667,0.201995870648411,240
"backjump",350000,0.652166666666668,0,0.129166666666667,0.125,0.231332940849588,240
"backjump",375000,0.548708333333333,0,0.125,0.0958333333333333,0.302989377408329,240
"backjump",400000,0.414541666666667,0,0.141666666666667,0.108333333333333,0.52212855949565,240
"backjump",425000,0.363250000000002,0,0.120833333333333,0.120833333333333,0.57609352937804,240
"backjump",450000,0.420583333333334,0,0.120833333333333,0.125,0.476946995329355,240
"backjump",475000,0.696625000000001,0,0.175,0.0958333333333333,0.240530148845619,240
"backjump",500000,0.650583333333332,0,0.133333333333333,0.108333333333333,0.264883827801984,240
"bestjump_w1",25000,-1.28404166666667,0,0.0916666666666667,0.0875,0.806348274202991,240
"bestjump_w1",50000,-12.1613333333333,0,0.183333333333333,0.225,0.0424713458829756,240
"bestjump_w1",75000,0.196208333333333,0,0.00833333333333333,0.00416666666666667,0.371279685902744,240
"bestjump_w1",100000,-0.0192083333333339,0,0.0208333333333333,0.0125,0.959095569107314,240
"bestjump_w1",125000,-3.13520833333333,0,0.0125,0.0166666666666667,0.299299161254976,240
"bestjump_w1",150000,-0.159666666666666,0,0.0166666666666667,0.0166666666666667,0.62178390540885,240
"bestjump_w1",175000,-0.243,0,0.0166666666666667,0.0166666666666667,0.430940431251928,240
"bestjump_w1",200000,-0.0793750000000008,0,0.0166666666666667,0.0208333333333333,0.711219707246794,240
"bestjump_w1",225000,-0.134958333333333,0,0.0125,0.0166666666666667,0.472637018480131,240
"bestjump_w1",250000,-0.0508749999999992,0,0.0208333333333333,0.0125,0.791053103171679,240
"bestjump_w1",275000,-0.248208333333333,0,0.00833333333333333,0.0333333333333333,0.223961351695183,240
"bestjump_w1",300000,-0.0794999999999983,0,0.025,0.0166666666666667,0.661633246367037,240
"bestjump_w1",325000,-0.0885833333333333,0,0.0208333333333333,0.0208333333333333,0.623760339500642,240
"bestjump_w1",350000,-0.120458333333333,0,0.0125,0.0291666666666667,0.554059871534853,240
"bestjump_w1",375000,-0.110916666666668,0,0.0125,0.025,0.585095569787456,240
"bestjump_w1",400000,-0.439916666666666,0,0.0166666666666667,0.0208333333333333,0.282614317092754,240
"bestjump_w1",425000,-0.432583333333332,0,0.0125,0.0333333333333333,0.276926124048103,240
"bestjump_w1",450000,-0.361999999999999,0,0.025,0.025,0.36163059378555,240
"bestjump_w1",475000,-0.359291666666666,0,0.0208333333333333,0.025,0.353258970514468,240
"bestjump_w1",500000,-0.340458333333333,0,0.0166666666666667,0.0291666666666667,0.354488376519059,240
"bestjump_w2",25000,-0.4425,0,0.129166666666667,0.145833333333333,0.953594841298586,240
"bestjump_w2",50000,-6.9495,0,0.333333333333333,0.295833333333333,0.342810428127422,240
"bestjump_w2",75000,3.44133333333333,0,0.0416666666666667,0.0291666666666667,0.243771574762471,240
"bestjump_w2",100000,0.0734583333333333,0,0.0416666666666667,0.0291666666666667,0.873984996182489,240
"bestjump_w2",125000,-0.041125000000001,0,0.0375,0.025,0.930886265382553,240
"bestjump_w2",150000,-0.267833333333333,0,0.0291666666666667,0.0333333333333333,0.530402802407511,240
"bestjump_w2",175000,-0.368,0,0.025,0.0291666666666667,0.327523128316071,240
"bestjump_w2",200000,0.517833333333332,0,0.0458333333333333,0.025,0.224072663172577,240
"bestjump_w2",225000,-0.0457500000000005,0,0.0416666666666667,0.025,0.817938747705762,240
"bestjump_w2",250000,-0.0158749999999984,0,0.0291666666666667,0.0333333333333333,0.936662639102383,240
"bestjump_w2",275000,-0.359833333333333,0,0.0166666666666667,0.0583333333333333,0.0904197422925168,240
"bestjump_w2",300000,-0.0879583333333324,0,0.0333333333333333,0.0375,0.653967085804895,240
"bestjump_w2",325000,-0.225458333333334,0,0.0333333333333333,0.0416666666666667,0.279410570058825,240
"bestjump_w2",350000,-0.0574999999999993,0,0.0458333333333333,0.0333333333333333,0.799083980808684,240
"bestjump_w2",375000,-0.134333333333335,0,0.0208333333333333,0.05,0.564353031295142,240
"bestjump_w2",400000,-0.364708333333332,0,0.0208333333333333,0.0541666666666667,0.375175902339178,240
"bestjump_w2",425000,-0.400499999999999,0,0.0291666666666667,0.0375,0.326742894658527,240
"bestjump_w2",450000,-0.357791666666666,0,0.0375,0.0458333333333333,0.380009184259497,240
"bestjump_w2",475000,-0.379833333333333,0,0.0333333333333333,0.0375,0.329041330103501,240
"bestjump_w2",500000,-0.274708333333334,0,0.05,0.025,0.456512583701761,240
