"budget","winner","suite_score"
25000,"base",127.57
50000,"base",325.38
75000,"bestjump_w2",546.26
100000,"backjump",614
125000,"backjump",650.23
150000,"backjump",656.71
175000,"backjump",658.62
200000,"backjump",679.22
225000,"backjump",680.96
250000,"backjump",681.96
275000,"backjump",683.25
300000,"backjump",684.18
325000,"backjump",685.1
350000,"backjump",685.58
375000,"backjump",686.14
400000,"backjump",686.88
425000,"backjump",687.25
450000,"backjump",687.77
475000,"backjump",688.44
500000,"backjump",688.71
